branch,task,channel,time_s,common,difference
P0_LARGER_PADDING,1,F4,0.72265625,16.074915886647556,4.8228667165495622
P0_LARGER_PADDING,1,F4,0.7265625,16.475456290863015,4.2002892470821465
P0_LARGER_PADDING,1,F4,0.73046875,16.883369756797673,3.6060387213659997
P0_LARGER_PADDING,1,F4,0.734375,17.236108181505696,3.0642513273415588
P0_LARGER_PADDING,1,F4,0.73828125,17.488700631138194,2.5473356793913489
P0_LARGER_PADDING,1,F4,0.7421875,17.636648817667961,2.0141051634106226
P0_LARGER_PADDING,1,F4,0.74609375,17.711277810037657,1.4593731360192557
P0_LARGER_PADDING,1,F4,0.75,17.752976717560081,0.92938214577656098
P0_LARGER_PADDING,1,F4,0.75390625,17.786525646806425,0.48484488677620519
P0_LARGER_PADDING,1,F4,0.7578125,17.817568153806697,0.14010237635951128
P0_LARGER_PADDING,1,F4,0.76171875,17.846730037958611,-0.17024006930476787
P0_LARGER_PADDING,1,F4,0.765625,17.881902160661092,-0.56570520472178032
P0_LARGER_PADDING,1,F4,0.76953125,17.935211957762398,-1.1478586127204409
P0_LARGER_PADDING,1,F4,0.7734375,18.009550036271207,-1.9298525598421392
P0_LARGER_PADDING,1,F4,0.77734375,18.089194501160438,-2.8194158086949699
P0_LARGER_PADDING,1,F4,0.78125,18.143041445382337,-3.6732934837847075
P0_LARGER_PADDING,1,F4,0.78515625,18.137371912680504,-4.3894625458323357
P0_LARGER_PADDING,1,F4,0.7890625,18.048888113857089,-4.9724958663341976
P0_LARGER_PADDING,1,F4,0.79296875,17.870177409196405,-5.524184513408775
P0_LARGER_PADDING,1,F4,0.796875,17.605757955037944,-6.1658651779932114
P0_LARGER_PADDING,2,Fz,-0.19921875,1.5524402497070331,-0.68512806655544267
P0_LARGER_PADDING,2,Fz,-0.1953125,1.468518442592418,-0.78171474896830162
P0_LARGER_PADDING,2,Fz,-0.19140625,1.3479170052041314,-0.9165157907590471
P0_LARGER_PADDING,2,Fz,-0.1875,1.2324960684470621,-1.0536370384935132
P0_LARGER_PADDING,2,Fz,-0.18359375,1.1529066066604308,-1.1421963520789102
P0_LARGER_PADDING,2,Fz,-0.1796875,1.1076534097394428,-1.1403193772226075
P0_LARGER_PADDING,2,Fz,-0.17578125,1.06581991829119,-1.0466406890156912
P0_LARGER_PADDING,2,Fz,-0.171875,0.9923758318956486,-0.91611981648368779
P0_LARGER_PADDING,2,Fz,-0.16796875,0.87682407737953783,-0.84109631905256843
P0_LARGER_PADDING,2,Fz,-0.1640625,0.74468258952018296,-0.90283852537070874
P0_LARGER_PADDING,2,Fz,-0.16015625,0.64512123078533712,-1.1214504105380723
P0_LARGER_PADDING,2,Fz,-0.15625,0.6239155656683596,-1.4347465128929742
P0_LARGER_PADDING,2,Fz,-0.15234375,0.69871186857054501,-1.7195364883340176
P0_LARGER_PADDING,2,Fz,-0.1484375,0.85107713535403462,-1.8438015145557844
P0_LARGER_PADDING,2,Fz,-0.14453125,1.0389733293100729,-1.7214378428132091
P0_LARGER_PADDING,2,Fz,-0.140625,1.2199899581677429,-1.343596814108055
P0_LARGER_PADDING,2,Fz,-0.13671875,1.3694556224555374,-0.7778751541571638
P0_LARGER_PADDING,2,Fz,-0.1328125,1.4836536002531178,-0.14239039563253608
P0_LARGER_PADDING,2,Fz,-0.12890625,1.5701259516143495,0.43294935559979408
P0_LARGER_PADDING,2,Fz,-0.125,1.6334181546235502,0.84496086287902616
P0_LARGER_PADDING,2,Fz,-0.12109375,1.6637172521781878,1.0415923316816993
P0_LARGER_PADDING,2,Fz,-0.1171875,1.6337946140358877,1.0235401230744716
P0_LARGER_PADDING,2,Fz,-0.11328125,1.5081353851941386,0.82847604689958687
P0_LARGER_PADDING,2,Fz,-0.109375,1.2625476364210035,0.51469044862191504
P0_LARGER_PADDING,2,Fz,-0.10546875,0.9035931021510355,0.15593921492514151
P0_LARGER_PADDING,2,Fz,-0.1015625,0.47429440254647176,-0.15915885060062751
