task,channel,contrast,block_size,record_id,n_blocks,effect,lag1_correlation,skewness,time_trend_rho,time_trend_p_diagnostic
2,F4,common,10,B_Task-2,10,-1.8446947413700179,-0.22105428778012737,-0.41494062859688868,-0.19999999999999998,0.5795840000000001
2,F4,difference,10,A_Task-2,10,-15.53713133882365,-0.47103231348424762,-0.72818436165085709,0.042424242424242413,0.90736381781281605
2,F4,difference,10,B_Task-2,10,-44.987947795985036,0.17530021029944515,-0.93708113061701126,0.16363636363636364,0.65147734279624281
2,Fz,common,10,A_Task-2,10,-19.367407702475298,-0.022065649117270082,0.016941664699963971,-0.32121212121212117,0.36546831043867017
2,Fz,common,10,B_Task-2,10,-25.892571859245106,-0.37966425789190772,0.32645431601957647,0.042424242424242413,0.90736381781281605
2,Fz,difference,10,A_Task-2,10,-2.1208606527547174,-0.11293994590361105,0.31397642861558789,0.066666666666666652,0.85481308824874258
2,Fz,difference,10,B_Task-2,10,11.744246813336368,-0.10922433781923362,-0.22041617757434298,0.30909090909090903,0.38484123026128336
1,F3,common,5,A_Task-1,18,-8.7345119825045394,0.11601239450588506,1.9211244372659462,0.058823529411764712,0.81665420356848906
1,F3,common,5,B_Task-1,19,-4.6873427223195172,-0.16273449178256391,-0.049589281771381492,0.42982456140350878,0.066250508483204601
1,F3,difference,5,A_Task-1,18,6.0673278258937575,0.27772357802658465,0.41776073942015618,0.21362229102167182,0.39468845725555057
1,F3,difference,5,B_Task-1,19,-10.157827999332364,-0.014913105146600105,-0.22010360275353447,0.2070175438596491,0.39511616522861548
1,F4,common,5,A_Task-1,18,-3.9725258201601354,-0.0086779898612405152,2.862187656542464,0.048503611971104227,0.84843036016297302
1,F4,common,5,B_Task-1,19,-2.7605818305555685,-0.38705853310701827,0.80190962301645707,0.1649122807017544,0.49988058994796014
1,F4,difference,5,A_Task-1,18,11.527647709646629,0.32287784553007109,0.081240707843877227,0.38080495356037153,0.11898433684768554
1,F4,difference,5,B_Task-1,19,1.6349737484772133,-0.17222429975500628,-0.63026110127979817,0.057894736842105256,0.81388131827434151
1,Fz,common,5,A_Task-1,18,-0.87966524945922819,0.39494803885648527,1.247680547724515,-0.56862745098039225,0.013800437611725471
1,Fz,common,5,B_Task-1,19,-18.513208557488898,-0.11680105690065821,-0.33447919779493684,-0.22807017543859648,0.34767800923503955
1,Fz,difference,5,A_Task-1,18,-3.1470260874258447,-0.34381949146570057,0.61317269666989538,0.046439628482972131,0.85481395168707519
1,Fz,difference,5,B_Task-1,19,-102.6234797569398,-0.24264522940596545,-1.7256743418953155,-0.1736842105263158,0.47701714888222069
2,F3,common,5,A_Task-2,17,21.96406997035389,-0.078656715380219483,1.6206587015722067,-0.33333333333333337,0.19105762734590404
2,F3,common,5,B_Task-2,18,5.6486473562240427,-0.11307929610334364,1.7692345451244682,-0.16202270381836945,0.52066510569850477
2,F3,difference,5,A_Task-2,17,-26.000348832694659,0.093187930568961241,1.4112670118578234,-0.34558823529411764,0.17425156925856997
2,F3,difference,5,B_Task-2,18,13.323948018714681,0.016234262697151117,-1.188140818283713,-0.13725490196078433,0.58706153696635677
2,F4,common,5,A_Task-2,17,-22.128840175874043,-0.36901384870167081,-0.15987961754998298,-0.017156862745098041,0.94789088182322201
2,F4,common,5,B_Task-2,18,-1.1523233484145581,-0.016816309282262326,0.46864364435838324,-0.20743034055727552,0.40885372595902159
2,F4,difference,5,A_Task-2,17,-11.989754527167335,0.3648214695956048,0.70291436248719585,-0.20343137254901961,0.43355523082632053
2,F4,difference,5,B_Task-2,18,-31.804510636794458,0.14999574015470127,0.2885685374764676,0.071207430340557279,0.77888294768411381
2,Fz,common,5,A_Task-2,17,-24.269278696914881,-0.21910692896810213,-0.68944644251132725,-0.16421568627450983,0.52882256291412677
2,Fz,common,5,B_Task-2,18,-24.329467213353258,-0.21853485901839906,1.7226902520120742,-0.14757481940144479,0.55896959528025869
2,Fz,difference,5,A_Task-2,17,-3.8265512108623825,0.23525876599251533,0.93714017973040087,-0.093137254901960786,0.72218609102537124
2,Fz,difference,5,B_Task-2,18,11.137241712601005,-0.22906689934054014,0.78854301207228406,0.050567595459236322,0.84205573033228809
1,F3,common,20,A_Task-1,5,-2.4491666498035065,-0.35180126993348121,0.73031091526158631,-0.099999999999999992,0.87288857156953825
1,F3,common,20,B_Task-1,5,-7.8427681904814834,0.035716978818984606,1.4498379158122037,0.79999999999999993,0.10408803866182788
1,F3,difference,20,A_Task-1,5,1.8757086081452754,-0.77778686873660452,1.3893914862787957,0.099999999999999992,0.87288857156953825
