task,method,is_selected,family,scope,artifact,artifact_removal_fraction,effective_n,out_of_candidate_subspace_fraction,linearity_max_abs_error,incremental_error_vs_P0,peak_ratio_F3,amplitude_bias_abs,peak_shift_samples_F3,peak_shift_samples_max,relative_waveform_error
2,U2_L10,False,narrow_antisym,single_trial_operator,none,,20,0.99865705850909414,3.6502356692835747e-11,0.013704299277994589,0.96421819801190056,0.035781801988099438,0,0,0.065040935305317349
2,U2_L10,False,narrow_antisym,weighted_ERP_pipeline,blink_like,0.12851823310698041,17.707793332532496,0.99865705850909414,,,0.9533036480603263,0.13368992961254444,0,0,0.11198529359715652
2,U2_L10,False,narrow_antisym,weighted_ERP_pipeline,muscle_like,-3.2201979204993183,11.0069017841047,0.99865705850909414,,,0.95379623475173458,0.25479260499042766,0,0,0.1996865571469145
2,U2_L10,False,narrow_antisym,weighted_ERP_pipeline,step_like,0.099948388248191966,17.624767681342572,0.99865705850909414,,,0.96522950714962241,0.088497143754596719,0,0,0.10955332116208653
2,U2_L10,False,shifted_antisym,single_trial_operator,none,,20,0.99331357342390114,5.10613773485602e-11,0.001590485759536671,0.91086632595755823,0.089134047624363721,0,0,0.22448161292613666
2,U2_L10,False,shifted_antisym,weighted_ERP_pipeline,blink_like,0.15214904396388029,17.735881500676911,0.99331357342390114,,,0.91638549706407857,0.20519491971452475,0,0,0.21967089474735849
2,U2_L10,False,shifted_antisym,weighted_ERP_pipeline,muscle_like,-2.7390418354263599,11.131092008024892,0.99331357342390114,,,0.83817307128312857,0.45516881410484922,0,1,0.27584558841384466
2,U2_L10,False,shifted_antisym,weighted_ERP_pipeline,step_like,0.12676015553169862,17.677823562764907,0.99331357342390114,,,0.90475681050225221,0.22097481641449812,0,0,0.21950577485949246
2,U2_L10,False,biphasic_common,single_trial_operator,none,,20,0.91784333813150965,3.5436542589195597e-11,0.0019484562991731332,0.94013007394975201,0.05987886497312056,0,0,0.12759921493989346
2,U2_L10,False,biphasic_common,weighted_ERP_pipeline,blink_like,0.13236845110349804,17.757629551873684,0.91784333813150965,,,0.96222721816040058,0.040013875387729825,0,0,0.084322039713810637
2,U2_L10,False,biphasic_common,weighted_ERP_pipeline,muscle_like,-3.6795235801812511,10.878284529379615,0.91784333813150965,,,1.0222535694037405,0.038265599454488708,0,0,0.061010722254583309
2,U2_L10,False,biphasic_common,weighted_ERP_pipeline,step_like,0.10776429224323736,17.744920600064962,0.91784333813150965,,,0.95914258330181634,0.040857416698183657,0,0,0.1008498844667168
2,U2_L10,False,oscillatory,single_trial_operator,none,,20,0.99999658679626424,4.3252328801868245e-11,0.027712746179048564,0.97305010121820634,0.026996449900203112,0,0,0.027743302710591531
2,U2_L10,False,oscillatory,weighted_ERP_pipeline,blink_like,0.067604332845344506,17.488466455030423,0.99999658679626424,,,0.98644846270098452,0.049069413840237663,0,0,0.16653001569754472
2,U2_L10,False,oscillatory,weighted_ERP_pipeline,muscle_like,-3.6744601269137078,10.750908766086029,0.99999658679626424,,,1.0146729441263902,1.9468285793028834,0,14,0.37706201328450306
2,U2_L10,False,oscillatory,weighted_ERP_pipeline,step_like,0.040310765652879943,17.472522985324076,0.99999658679626424,,,1.010284128762402,0.019175077269100949,0,0,0.17442976235500565
2,U2_L10,False,slow_common,single_trial_operator,none,,20,0.57471317153152413,3.5782932172878645e-11,6.7228743148876354e-05,0.72680519465155735,0.27319480534844265,-1,1,0.32123496455492301
2,U2_L10,False,slow_common,weighted_ERP_pipeline,blink_like,0.1454215434103806,17.903696600410317,0.57471317153152413,,,0.92578464092482893,0.19569735123731979,0,3,0.19564040294112925
2,U2_L10,False,slow_common,weighted_ERP_pipeline,muscle_like,-4.0237096138852859,11.133565129916935,0.57471317153152413,,,1.0567134718043512,0.1398905127131933,2,5,0.21724047859259388
2,U2_L10,False,slow_common,weighted_ERP_pipeline,step_like,0.11586942121188493,17.836903436937039,0.57471317153152413,,,0.92741594186650445,0.19429790671572611,0,3,0.19386701836446732
2,U2_L10,False,outside_subspace_stress,single_trial_operator,none,,20,1,3.9137582064086018e-11,0.011633333763021886,1.0082702067554865,0.08802539104709195,0,0,0.13810528808915157
2,U2_L10,False,outside_subspace_stress,weighted_ERP_pipeline,blink_like,0.16878379541973765,18.110621116455782,1,,,1.4476306286759737,0.4476306286759737,0,0,0.51947326048431108
2,U2_L10,False,outside_subspace_stress,weighted_ERP_pipeline,muscle_like,-5.0478329724395694,11.222099794938943,1,,,1.8240659476060335,0.82406594760603347,1,1,0.98910513022765945
2,U2_L10,False,outside_subspace_stress,weighted_ERP_pipeline,step_like,0.14349008865016377,18.032273240866903,1,,,1.4215953095164462,0.42159530951644619,1,1,0.50096023340570028
2,U2_L10,False,mixed_subspace_stress,single_trial_operator,none,,20,0.88476020393252919,4.2912340347811551e-11,0.0052696476373006998,0.94938623556277568,0.084141513616283858,0,0,0.1413147776513731
2,U2_L10,False,mixed_subspace_stress,weighted_ERP_pipeline,blink_like,0.15867866452253421,18.075463890172038,0.88476020393252919,,,1.2875363180134929,0.28753631801349289,1,1,0.47995430424108426
2,U2_L10,False,mixed_subspace_stress,weighted_ERP_pipeline,muscle_like,-5.0622763167739802,11.228626507209182,0.88476020393252919,,,1.570779170905261,0.57077917090526098,1,1,0.93918420143722736
2,U2_L10,False,mixed_subspace_stress,weighted_ERP_pipeline,step_like,0.13378550726091754,18.065723822818462,0.88476020393252919,,,1.2718494142800025,0.27184941428000253,1,1,0.45673983891310888
2,U2_L100,True,broad_common,single_trial_operator,none,,20,0.69470780026755907,6.3386185189528987e-11,0.001597816083585933,0.9173750444091725,0.082658607719592547,0,0,0.1449743030519442
2,U2_L100,True,broad_common,weighted_ERP_pipeline,blink_like,0.14763662817792456,17.865958333428338,0.69470780026755907,,,0.91570252659817564,0.087130399412593595,0,0,0.15108285608455518
2,U2_L100,True,broad_common,weighted_ERP_pipeline,muscle_like,-3.1146004352255598,11.073732816714658,0.69470780026755907,,,0.90321107309391724,0.096788926906082762,0,0,0.16756627699565152
2,U2_L100,True,broad_common,weighted_ERP_pipeline,step_like,0.14049079640895978,17.875996252174684,0.69470780026755907,,,0.90745335682601691,0.09254664317398309,0,1,0.16705278027012671
2,U2_L100,True,narrow_antisym,single_trial_operator,none,,20,0.99865705850909414,3.6502745270894366e-11,0.084749910312326981,0.89193067726116304,0.10806932273883696,0,0,0.10420724226063087
2,U2_L100,True,narrow_antisym,weighted_ERP_pipeline,blink_like,0.12887000529992243,17.707793332532496,0.99865705850909414,,,0.88079268776141117,0.20698965780364398,0,0,0.13844855396803538
2,U2_L100,True,narrow_antisym,weighted_ERP_pipeline,muscle_like,-3.208027019284212,11.0069017841047,0.99865705850909414,,,0.88173962421713958,0.32678602807232271,0,0,0.2154518535748039
2,U2_L100,True,narrow_antisym,weighted_ERP_pipeline,step_like,0.12036668134129058,17.624767681342572,0.99865705850909414,,,0.89039929600291423,0.17361558771429353,0,0,0.13598976538135096
2,U2_L100,True,shifted_antisym,single_trial_operator,none,,20,0.99331357342390114,5.0913051552470279e-11,0.014389360699968047,0.89792020845058662,0.10208500922565245,0,0,0.22484569226362766
2,U2_L100,True,shifted_antisym,weighted_ERP_pipeline,blink_like,0.15248868493515133,17.735881500676911,0.99331357342390114,,,0.90271916280674602,0.22290152630767468,0,0,0.21998716351630446
2,U2_L100,True,shifted_antisym,weighted_ERP_pipeline,muscle_like,-2.7272454729355076,11.131092008024892,0.99331357342390114,,,0.82501751919843447,0.47189664090226069,0,1,0.27603853351153301
2,U2_L100,True,shifted_antisym,weighted_ERP_pipeline,step_like,0.14651393933691614,17.677823562764907,0.99331357342390114,,,0.89187725851693667,0.23458427773065638,0,0,0.21983313806441679
2,U2_L100,True,biphasic_common,single_trial_operator,none,,20,0.91784333813150965,3.5337066606189182e-11,0.016082565579628835,0.93369931899315495,0.066380437318357299,0,0,0.12864790154742414
2,U2_L100,True,biphasic_common,weighted_ERP_pipeline,blink_like,0.13271207320003153,17.757629551873684,0.91784333813150965,,,0.95488982488745899,0.046710497214243918,0,0,0.085620029334076572
2,U2_L100,True,biphasic_common,weighted_ERP_pipeline,muscle_like,-3.6671252157133356,10.878284529379615,0.91784333813150965,,,1.0144970129486652,0.03124912835179261,0,0,0.061867540383903109
2,U2_L100,True,biphasic_common,weighted_ERP_pipeline,step_like,0.128041157185384,17.744920600064962,0.91784333813150965,,,0.95163914320759135,0.048360856792408646,0,0,0.10202993089838498
2,U2_L100,True,oscillatory,single_trial_operator,none,,20,0.99999658679626424,4.3126363591383665e-11,0.21149610133082183,0.79643734705671565,0.20390558364473965,0,0,0.21152060702086414
