task,record_id,block,block_size,channel,n_left,n_right,left,right,common,difference
2,A_Task-2,3,10,F4,6,4,-11.806226020009049,-44.724147725005579,-28.265186872507314,32.91792170499653
2,A_Task-2,4,10,Fz,8,2,-13.531765264058384,17.337090038672955,1.9026623873072852,-30.86885530273134
2,A_Task-2,4,10,F3,8,2,-4.2225398800508929,54.814192740010462,25.295826429979783,-59.036732620061358
2,A_Task-2,4,10,F4,8,2,-134.56334192477416,45.892999180968417,-44.335171371902874,-180.45634110574258
2,A_Task-2,5,10,Fz,3,7,22.040737537114747,-31.606634773896396,-4.7829486183908241,53.647372311011139
2,A_Task-2,5,10,F3,3,7,38.809927063371248,-15.349518959078479,11.730204052146384,54.159446022449728
2,A_Task-2,5,10,F4,3,7,67.404723777782664,-44.659669368332516,11.372527204725074,112.06439314611518
2,A_Task-2,6,10,Fz,6,4,-27.061900738315355,-52.345062572865871,-39.703481655590615,25.283161834550516
2,A_Task-2,6,10,F3,6,4,102.15043150424533,32.247773500959525,67.199102502602429,69.902658003285808
2,A_Task-2,6,10,F4,6,4,-32.427078052355121,-60.988213648270715,-46.707645850312915,28.561135595915594
2,A_Task-2,7,10,Fz,4,6,-31.887078647854327,-18.070046856455541,-24.978562752154936,-13.817031791398787
2,A_Task-2,7,10,F3,4,6,-30.270794363282565,72.848513146173403,21.28885939144542,-103.11930750945596
2,A_Task-2,7,10,F4,4,6,-30.112541760247822,14.099682809771613,-8.0064294752381038,-44.212224570019437
2,A_Task-2,8,10,Fz,6,4,-38.245536488933929,5.9518598170004875,-16.14683833596672,-44.197396305934419
2,A_Task-2,8,10,F3,6,4,-259.16108547366366,13.395735744055202,-122.88267486480423,-272.55682121771883
2,A_Task-2,8,10,F4,6,4,-32.790668370999072,13.750391975495045,-9.5201381977520132,-46.54106034649412
2,A_Task-2,9,10,Fz,9,1,-30.61519070757835,-35.632622985985947,-33.123906846782148,5.0174322784075969
2,A_Task-2,9,10,F3,9,1,-47.828469083423698,-42.249214470448436,-45.038841776936067,-5.5792546129752623
2,A_Task-2,9,10,F4,9,1,-41.387280435975725,-45.63218280649501,-43.509731621235368,4.2449023705192843
1,B_Task-1,0,10,Fz,6,4,0.24570217618730558,14.033413367568919,7.1395577718781125,-13.787711191381613
1,B_Task-1,0,10,F3,6,4,-4.3465434761072776,-41.921736593656689,-23.134140034881984,37.575193117549411
1,B_Task-1,0,10,F4,6,4,1.4902120811976101,-32.774004733335929,-15.641896326069158,34.26421681453354
1,B_Task-1,1,10,Fz,5,5,8.0359864991267109,-12.34034885380415,-2.1521811773387194,20.376335352930859
1,B_Task-1,1,10,F3,5,5,-49.172358184381238,35.722379470626976,-6.7249893568771313,-84.894737655008214
1,B_Task-1,1,10,F4,5,5,-20.541994353090779,58.391685188744461,18.924845417826841,-78.933679541835232
1,B_Task-1,2,10,Fz,1,9,29.034992335376099,-38.383557755291903,-4.6742827099579021,67.418550090668006
1,B_Task-1,2,10,F3,1,9,-69.350849689519592,-21.817182835677038,-45.584016262598311,-47.533666853842554
