task,channel,contrast,block_size,n_blocks,effect,ci_low,ci_high,t_stat,p_conditional,assumption_warning,max_abs_lag1,max_abs_skew,inferential_status,n_trials_included,p_holm_conditional,primary_family
1,F4,common,5,37,-3.3501762038767096,-10.414208531301684,4.94385036820485,-0.79137933029930863,0.503,True,0.38705853310701827,2.862187656542464,conditional_internal_not_population,185,1,False
1,F4,difference,5,37,6.4476259458028746,-9.7950777363351857,21.220897424706539,0.86860153638655691,0.38600000000000001,False,0.32287784553007109,0.63026110127979817,conditional_internal_not_population,185,1,False
1,Fz,common,5,37,-9.9347280292582472,-39.860032505966274,15.704066053262739,-0.66321897492674542,0.499,True,0.39494803885648527,1.247680547724515,conditional_internal_not_population,185,1,False
1,Fz,difference,5,37,-54.229529323122193,-99.065788519564975,-10.126427653857487,-1.9075673370978585,0.084000000000000005,True,0.34381949146570057,1.7256743418953155,conditional_internal_not_population,185,0.84000000000000008,False
2,F3,common,5,35,13.573281197372825,-16.243251681106255,42.028422685872151,0.86868705934742929,0.40000000000000002,True,0.11307929610334364,1.7692345451244682,conditional_internal_not_population,175,1,False
2,F3,difference,5,35,-5.7764247376841436,-76.047945817525317,68.277309879840359,-0.15801416402012042,0.89100000000000001,True,0.093187930568961241,1.4112670118578234,conditional_internal_not_population,175,1,False
2,F4,common,5,35,-11.34091723603774,-38.957000400799636,26.286960496404834,-0.64441968303985986,0.53700000000000003,False,0.36901384870167081,0.46864364435838324,conditional_internal_not_population,175,1,False
2,F4,difference,5,35,-22.180200526404143,-89.464307453759886,44.548494987980433,-0.73829690905292167,0.47299999999999998,False,0.3648214695956048,0.70291436248719585,conditional_internal_not_population,175,1,False
2,Fz,common,5,35,-24.300232791083193,-31.092068060705788,-16.579845187857977,-5.6770240305163595,0.001,True,0.21910692896810213,1.7226902520120742,conditional_internal_not_population,175,0.012,False
2,Fz,difference,5,35,3.8691137212045028,-11.564046631803205,20.939628753513091,0.48499032062373987,0.629,False,0.23525876599251533,0.93714017973040087,conditional_internal_not_population,175,1,False
1,F3,common,20,10,-5.1459674201424948,-11.091620083331787,1.6081224716659304,-1.3337080199184632,0.23000000000000001,True,0.35180126993348121,1.4498379158122037,conditional_internal_not_population,200,1,False
1,F3,difference,20,10,-5.2879673066991479,-16.975420574670455,8.0358031337439435,-0.55089289606321723,0.64400000000000002,True,0.77778686873660452,1.3893914862787957,conditional_internal_not_population,200,1,False
1,F4,common,20,10,-1.4584731686774941,-6.3340753318726053,3.596746616967553,-0.43158538456154349,0.66500000000000004,True,0.44953749956687405,1.6794425572363776,conditional_internal_not_population,200,1,False
1,F4,difference,20,10,0.52984683288909662,-12.497412064826921,14.703157109612215,0.049479607421778433,0.96999999999999997,True,0.9455949213623227,0.53471378257386026,conditional_internal_not_population,200,1,False
1,Fz,common,20,10,-22.485761411464793,-47.873308683540564,1.095244179501393,-1.445777938639327,0.27800000000000002,True,0.043685177071291853,1.5750395307719003,conditional_internal_not_population,200,1,False
1,Fz,difference,20,10,-48.611942051193786,-96.533172384395343,-5.1482179569324611,-1.7102246253293747,0.057000000000000002,False,0.28447369921349086,0.55043278492869852,conditional_internal_not_population,200,0.627,False
2,F3,common,20,10,13.518722687484166,-8.7797826249818609,32.286031066454846,0.96805971261964963,0.376,True,0.89788712347509358,0.50397564253587868,conditional_internal_not_population,200,1,False
2,F3,difference,20,10,-10.276883000692612,-88.045242611544936,61.358736006144035,-0.25263958856985474,0.80900000000000005,True,0.10952043006861781,1.724489907475955,conditional_internal_not_population,200,1,False
2,F4,common,20,10,-17.340551215546562,-43.453892477400274,10.052832893050006,-0.93092879976753218,0.39000000000000001,True,0.81096487011394924,0.26660294873238749,conditional_internal_not_population,200,1,False
