task,condition,channel,method,time_s,mean,ci_low,ci_high
2,1,Fz,SELECTED,0.515625,-21.130821555176556,-29.075512418938182,-12.953850474305963
2,1,Fz,SELECTED,0.51953125,-19.880455003548359,-28.005075342107908,-11.284284301989103
2,1,Fz,SELECTED,0.5234375,-18.421763705692946,-27.138885637941158,-9.5887276723754944
2,1,Fz,SELECTED,0.52734375,-16.765061271794725,-25.730876134557395,-7.8906950376425602
2,1,Fz,SELECTED,0.53125,-14.928883618586159,-24.075715572672792,-5.9696257144519755
2,1,Fz,SELECTED,0.53515625,-12.928664735908812,-22.445717042088525,-3.8575789361076049
2,1,Fz,SELECTED,0.5390625,-10.772195648969571,-20.535960228560636,-1.592035954175113
2,1,Fz,SELECTED,0.54296875,-8.463579589369985,-18.233592996821997,0.90878900920590011
2,1,Fz,SELECTED,0.546875,-6.0131514953563876,-15.747354177647111,3.4453602531350556
2,1,Fz,SELECTED,0.55078125,-3.4477920463966893,-13.168064682309673,5.996804405343795
2,1,Fz,SELECTED,0.5546875,-0.81529856396357892,-10.551418024541322,8.6836761757824164
2,1,Fz,SELECTED,0.55859375,1.8216615297947678,-7.9354598884477117,11.318910553020462
2,1,Fz,SELECTED,0.5625,4.4015515824378815,-5.1477252277123497,13.723984511846837
2,1,Fz,SELECTED,0.56640625,6.8823524754979539,-2.1944832563200616,16.058907554300053
2,1,Fz,SELECTED,0.5703125,9.2508838730942564,0.58341157401429433,18.350189591860968
2,1,Fz,SELECTED,0.57421875,11.516959828195834,2.8717969951497508,20.829626836031611
2,1,Fz,SELECTED,0.578125,13.697900606183897,4.819618789633191,23.317499260778291
2,1,Fz,SELECTED,0.58203125,15.80553889772767,7.2650107896413187,25.744702282754343
2,1,Fz,SELECTED,0.5859375,17.843205051968987,9.226255563085747,28.273290068025339
2,1,Fz,SELECTED,0.58984375,19.810474622239035,11.008963415898702,30.368848099130808
2,1,Fz,SELECTED,0.59375,21.708740949138019,12.71286718953516,32.475331018733449
2,1,Fz,SELECTED,0.59765625,23.542932183604307,14.677831515961275,34.539274783234582
2,1,Fz,SELECTED,0.6015625,25.318927226851766,16.372101858947005,36.350813718654159
2,1,Fz,SELECTED,0.60546875,27.039196162527034,18.165783457553211,38.297909620955302
2,1,Fz,SELECTED,0.609375,28.700514212797657,19.706282347543102,40.214237068002234
2,1,Fz,SELECTED,0.61328125,30.296008807718863,21.187565302182357,41.97847997004915
2,1,Fz,SELECTED,0.6171875,31.819734288209624,22.86505225890971,43.652528527655285
2,1,Fz,SELECTED,0.62109375,33.269971284313741,24.39710877786878,45.28606096909779
2,1,Fz,SELECTED,0.625,34.649928314871524,25.699918911321866,46.747423605140796
