task,repeat,method,contrast,channel,correlation,rmse,rms_half_a,rms_half_b
1,3,SELECTED,common,F4,0.8264638413681118,4.6225861075740129,6.1196290803610287,7.9577311507559871
1,3,SELECTED,difference,Fz,0.17390756775531008,13.771144907512213,10.143513276387596,5.6451926588514469
1,3,SELECTED,difference,F3,-0.35456106945255678,9.4742389944132395,7.9883237848984976,2.8130781768295097
1,3,SELECTED,difference,F4,0.32978323876188864,12.169043779327458,5.1674995577327003,8.6157702515955759
1,4,P0,common,Fz,0.4701696254345612,19.669266122104091,23.074237851139561,6.6670214397303296
1,4,P0,common,F3,0.92934995464343417,4.1423947334503515,3.9589003131666738,6.1183738157613323
1,4,P0,common,F4,0.84955644496372262,4.9537104395416947,8.2989922121537916,7.1444577492442871
1,4,P0,difference,Fz,-0.1227765825053268,59.746305901416541,60.686766819466428,3.0328249586894089
1,4,P0,difference,F3,-0.74924147626757032,35.672417418753412,19.376291452423668,16.639147827349358
1,4,P0,difference,F4,-0.39640502257981547,35.003828055566487,15.154707794144731,21.410608411138718
1,4,W0,common,Fz,0.91366538287201748,7.9297299898948372,6.5203370117378192,6.7981497707515901
1,4,W0,common,F3,0.8908162951655515,10.844590246924563,5.1876239215173783,10.250951984302516
1,4,W0,common,F4,0.86141354204465626,8.6610891967149435,7.4752954252090982,8.5993957294023957
1,4,W0,difference,Fz,-0.07299386989565694,6.8676787643600452,6.0710215366323439,5.2281066329023576
1,4,W0,difference,F3,-0.47844732769908144,20.049480494566925,13.190217798005214,7.6135179847162284
1,4,W0,difference,F4,0.024656461520572659,16.507162870146562,7.3104461584958162,10.583816397232212
1,4,SELECTED,common,Fz,0.42287893760689443,20.598370471264243,23.074237851139561,6.7661125737512702
1,4,SELECTED,common,F3,0.92606944915951073,8.9877403758348375,3.9589003131666738,10.227929434626667
1,4,SELECTED,common,F4,0.91541858133646536,9.2117935561266879,8.2989922121537916,8.5679744618016365
1,4,SELECTED,difference,Fz,0.057429323694116644,56.891203296112643,60.686766819466428,5.1354720886154919
1,4,SELECTED,difference,F3,-0.4639674446949888,26.023086687771823,19.376291452423668,7.5040937625789219
1,4,SELECTED,difference,F4,0.18326886568590164,23.587255693274145,15.154707794144731,10.471194973906275
1,5,P0,common,Fz,0.33896448585305938,10.340974768433183,12.974927420475527,16.691269259634907
1,5,P0,common,F3,0.73355922515453365,8.5597254356926218,6.3637512523737039,6.4336990016457083
1,5,P0,common,F4,0.81512464287392206,5.9406561343079067,9.1384125509983072,6.304363937358322
1,5,P0,difference,Fz,-0.26578298547373436,25.109461436531564,34.133374630539066,32.812625869714886
1,5,P0,difference,F3,-0.09726558159450284,13.478061806365186,8.3307563410843084,6.0506859112946998
1,5,P0,difference,F4,0.34492921523449488,22.145783531840628,7.5207641544179413,16.326601547332249
1,5,W0,common,Fz,0.73942701574569347,5.2446150808105632,6.3208344306058715,5.4617545450390068
1,5,W0,common,F3,0.75806298929903859,7.5017749163656298,6.5553500045565336,7.7432916623624939
1,5,W0,common,F4,0.75697895337610599,7.3827710099680122,8.0761813653535839,7.3469101477942305
1,5,W0,difference,Fz,0.010620031821224816,7.6607600985425552,5.2021328012991725,5.8966679753687368
