trial_key,task,channel,effective_pre_s,effective_post_s,rmse_native,training_scaled_rmse
A_Task-1_trial-072,1,F3,2,3,1.0916881182970242,0.0092959466186499154
A_Task-1_trial-072,1,F4,2,3,6.49422642639722,0.044092125442126873
A_Task-1_trial-073,1,Fz,2,3,2.0048118173107872,0.020661146997215555
A_Task-1_trial-073,1,F3,2,3,20.219329840995773,0.17217171068965764
A_Task-1_trial-073,1,F4,2,3,27.352209055372086,0.1857060338836696
A_Task-1_trial-074,1,Fz,2,3,1.0013857058676143,0.01032005951441072
A_Task-1_trial-074,1,F3,2,3,1.5766774370119578,0.01342572942183947
A_Task-1_trial-074,1,F4,2,3,2.2938610923203018,0.015574019812165786
A_Task-1_trial-075,1,Fz,2,3,2.8763783683938526,0.029643319026677335
A_Task-1_trial-075,1,F3,2,3,37.87524475683059,0.32251542132475824
A_Task-1_trial-075,1,F4,2,3,39.395664461784648,0.26747428643146332
A_Task-1_trial-076,1,Fz,2,3,0.37165060327271637,0.0038301488845579124
A_Task-1_trial-076,1,F3,2,3,7.3064903567010075,0.062216253147030422
A_Task-1_trial-076,1,F4,2,3,10.284725972164345,0.06982747411752066
A_Task-1_trial-077,1,Fz,2,3,3.1232716353309282,0.032187746407224306
A_Task-1_trial-077,1,F3,2,3,23.046132590924785,0.19624251170358173
A_Task-1_trial-077,1,F4,2,3,29.193595768540515,0.1982080085013809
A_Task-1_trial-078,1,Fz,2,3,5.7734709420036232,0.059500114069009173
A_Task-1_trial-078,1,F3,2,3,37.662260753034282,0.32070181916427554
A_Task-1_trial-078,1,F4,2,3,21.972919542059934,0.14918369966902181
A_Task-1_trial-079,1,Fz,2,3,1.8392447602971675,0.018954849541605302
A_Task-1_trial-079,1,F3,2,3,1.2517246414500158,0.010658690200200717
A_Task-1_trial-079,1,F4,2,3,2.2965271592885692,0.015592120899421405
A_Task-1_trial-080,1,Fz,2,3,4.3610036339015581,0.044943538519387836
A_Task-1_trial-080,1,F3,2,3,3.5778018771276443,0.03046571150171206
A_Task-1_trial-080,1,F4,2,3,0.50759002448660084,0.0034462492625548218
A_Task-1_trial-081,1,Fz,2,3,5.817647494732241,0.059955387846764803
A_Task-1_trial-081,1,F3,2,3,12.714748707269388,0.10826867424068258
A_Task-1_trial-081,1,F4,2,3,9.2347666727621522,0.062698844147029781
A_Task-1_trial-082,1,Fz,2,3,1.4451286062834729,0.014893175661920725
A_Task-1_trial-082,1,F3,2,3,1.8941998491539644,0.016129497415670439
A_Task-1_trial-082,1,F4,2,3,0.68105432708768998,0.0046239737962929161
A_Task-1_trial-083,1,Fz,2,3,3.4062729634084921,0.035104295476483582
A_Task-1_trial-083,1,F3,2,3,7.4720272443536402,0.063625833452289032
A_Task-1_trial-083,1,F4,2,3,6.0739289638773615,0.0412385433179948
A_Task-1_trial-084,1,Fz,2,3,3.6044041350458809,0.037146191492151391
A_Task-1_trial-084,1,F3,2,3,14.312745085597463,0.12187593878882708
A_Task-1_trial-084,1,F4,2,3,15.3236188190767,0.10403870743584383
A_Task-1_trial-085,1,Fz,2,3,3.0032330301017263,0.030950655101912632
A_Task-1_trial-085,1,F3,2,3,1.4229435705245861,0.012116654245153857
A_Task-1_trial-085,1,F4,2,3,1.4347106765616831,0.0097408742736447319
A_Task-1_trial-086,1,Fz,2,3,2.2282620240507498,0.022963975386468251
A_Task-1_trial-086,1,F3,2,3,8.3465133801925457,0.071072260963279066
A_Task-1_trial-086,1,F4,2,3,28.361644620025199,0.19255953060831657
A_Task-1_trial-087,1,Fz,2,3,4.6502074730049792,0.047924009294889339
A_Task-1_trial-087,1,F3,2,3,6.2591973829920446,0.053298340224361043
A_Task-1_trial-087,1,F4,2,3,4.5258010168967244,0.0307276299070805
A_Task-1_trial-088,1,Fz,2,3,1.8790937565056827,0.019365524479395727
A_Task-1_trial-088,1,F3,2,3,13.117753435001825,0.11170034155781737
A_Task-1_trial-088,1,F4,2,3,19.475714769939952,0.13222909124646395
A_Task-1_trial-089,1,Fz,2,3,8.0972231735830622,0.083448190405755795
A_Task-1_trial-089,1,F3,2,3,3.4070819828986165,0.029011996840083022
A_Task-1_trial-089,1,F4,2,3,4.3468958553896879,0.029512965017764594
A_Task-1_trial-090,1,Fz,2,3,1.1935032347979986,0.012299980258940703
A_Task-1_trial-090,1,F3,2,3,2.2660747707353459,0.019296088094726077
A_Task-1_trial-090,1,F4,2,3,4.0586687970702764,0.027556066262344237
A_Task-1_trial-091,1,Fz,2,3,2.2511079861223404,0.023199420816597004
A_Task-1_trial-091,1,F3,2,3,24.119749391044842,0.20538457736824289
A_Task-1_trial-091,1,F4,2,3,25.652830431480449,0.17416821389733025
A_Task-1_trial-092,1,Fz,2,3,3.9155509757037308,0.040352801986484117
A_Task-1_trial-092,1,F3,2,3,12.885206636175159,0.10972015821424227
A_Task-1_trial-092,1,F4,2,3,12.781141756015192,0.086776725755844178
A_Task-1_trial-093,1,Fz,2,3,7.8046006943743178,0.080432487881749642
