trial_key,task,record_id,split_role,method,weight,peak_to_peak_proxy,first_difference_rms_proxy,prebaseline_abs_error,native_anomaly_fraction,retained
A_Task-1_trial-079,1,A_Task-1,development,SELECTED,1,30.961133028445659,0.92990981730836875,5.5728842020400014e-16,0,True
A_Task-1_trial-080,1,A_Task-1,development,P0,1,76.456976376031136,2.7407908480664611,4.179663151530001e-16,0,True
A_Task-1_trial-080,1,A_Task-1,development,W0,1,76.456976376031136,2.7407908480664611,4.179663151530001e-16,0,True
A_Task-1_trial-080,1,A_Task-1,development,SELECTED,1,68.074692965190195,1.3690000768248523,6.7919526212362513e-16,0,True
A_Task-1_trial-081,1,A_Task-1,test,P0,1,143.38919048986395,3.0406212504198447,2.5077978909180008e-15,0,True
A_Task-1_trial-081,1,A_Task-1,test,W0,1,143.38919048986395,3.0406212504198447,2.5077978909180008e-15,0,True
A_Task-1_trial-081,1,A_Task-1,test,SELECTED,1,131.68803355666506,1.9614090263765296,6.269494727295002e-16,0,True
A_Task-1_trial-082,1,A_Task-1,test,P0,1,81.244553111280709,2.5332059918461773,3.9706799939535011e-15,0,True
A_Task-1_trial-082,1,A_Task-1,test,W0,1,81.244553111280709,2.5332059918461773,3.9706799939535011e-15,0,True
A_Task-1_trial-082,1,A_Task-1,test,SELECTED,1,77.989882117095974,1.3340265248170275,1.6718652606120004e-15,0,True
A_Task-1_trial-083,1,A_Task-1,test,P0,1,152.53287230594592,2.8991751860366839,1.3583905242472503e-15,0,True
A_Task-1_trial-083,1,A_Task-1,test,W0,1,152.53287230594592,2.8991751860366839,1.3583905242472503e-15,0,True
A_Task-1_trial-083,1,A_Task-1,test,SELECTED,1,145.69314711982923,2.2491951940440149,6.269494727295002e-16,0,True
A_Task-1_trial-084,1,A_Task-1,test,P0,1,137.9725368593032,3.3501516241943707,4.8066126242595015e-15,0,True
A_Task-1_trial-084,1,A_Task-1,test,W0,1,137.9725368593032,3.3501516241943707,4.8066126242595015e-15,0,True
A_Task-1_trial-084,1,A_Task-1,test,SELECTED,1,119.72552754495149,1.9721452170296792,1.6022042080865004e-15,0,True
A_Task-1_trial-085,1,A_Task-1,test,P0,1,52.071205186892293,2.1290698194674564,3.065086311122001e-15,0,True
A_Task-1_trial-085,1,A_Task-1,test,W0,1,52.071205186892293,2.1290698194674564,3.065086311122001e-15,0,True
A_Task-1_trial-085,1,A_Task-1,test,SELECTED,1,47.839902985163576,0.96057913381967808,2.8212726272827506e-15,0,True
A_Task-1_trial-086,1,A_Task-1,test,P0,1,120.46154129167638,3.0032739061322999,2.0201705232395005e-15,0,True
A_Task-1_trial-086,1,A_Task-1,test,W0,1,120.46154129167638,3.0032739061322999,2.0201705232395005e-15,0,True
A_Task-1_trial-086,1,A_Task-1,test,SELECTED,1,112.61441887764758,2.0260796763976572,1.1145768404080003e-15,0,True
A_Task-1_trial-087,1,A_Task-1,test,P0,1,81.018614487419256,2.3551409614209917,6.6177999899225019e-16,0,True
A_Task-1_trial-087,1,A_Task-1,test,W0,1,81.018614487419256,2.3551409614209917,6.6177999899225019e-16,0,True
A_Task-1_trial-087,1,A_Task-1,test,SELECTED,1,68.490716563794919,1.223848537784717,1.0100852616197502e-15,0,True
A_Task-1_trial-088,1,A_Task-1,test,P0,1,244.89807717748971,2.6011511052699565,1.0309835773774002e-14,0.3359375,True
A_Task-1_trial-088,1,A_Task-1,test,W0,0.01,244.89807717748971,2.6011511052699565,1.0309835773774002e-14,0.3359375,True
A_Task-1_trial-088,1,A_Task-1,test,SELECTED,0.01,238.54291279864049,1.7196280298804996,4.0403410464790009e-15,0.3359375,True
A_Task-1_trial-089,1,A_Task-1,test,P0,1,119.86854842123731,3.3572555527098289,8.3593263030600021e-16,0,True
A_Task-1_trial-089,1,A_Task-1,test,W0,1,119.86854842123731,3.3572555527098289,8.3593263030600021e-16,0,True
A_Task-1_trial-089,1,A_Task-1,test,SELECTED,1,102.9108249932498,1.7399923639777732,5.9211894646675012e-16,0,True
A_Task-1_trial-090,1,A_Task-1,test,P0,1,130.81572085283909,2.9627534371107109,1.2887294717217503e-15,0,True
A_Task-1_trial-090,1,A_Task-1,test,W0,1,130.81572085283909,2.9627534371107109,1.2887294717217503e-15,0,True
A_Task-1_trial-090,1,A_Task-1,test,SELECTED,1,129.65430099201006,1.831647196738605,7.4450249886628146e-16,0,True
A_Task-1_trial-091,1,A_Task-1,test,P0,1,63.899123576054784,2.2514396999741515,6.6177999899225019e-16,0,True
A_Task-1_trial-091,1,A_Task-1,test,W0,1,63.899123576054784,2.2514396999741515,6.6177999899225019e-16,0,True
A_Task-1_trial-091,1,A_Task-1,test,SELECTED,1,50.417496243876286,0.93739791740084411,3.4830526262750009e-16,0,True
A_Task-1_trial-092,1,A_Task-1,test,P0,1,56.118018103888815,2.173029432609809,8.3593263030600021e-16,0,True
A_Task-1_trial-092,1,A_Task-1,test,W0,1,56.118018103888815,2.173029432609809,8.3593263030600021e-16,0,True
A_Task-1_trial-092,1,A_Task-1,test,SELECTED,1,48.272584501754807,1.0280369173503876,1.9505094707140007e-15,0,True
A_Task-1_trial-093,1,A_Task-1,test,P0,1,151.40789477824796,3.1414451834172428,1.7066957868747505e-15,0,True
A_Task-1_trial-093,1,A_Task-1,test,W0,1,151.40789477824796,3.1414451834172428,1.7066957868747505e-15,0,True
A_Task-1_trial-093,1,A_Task-1,test,SELECTED,1,146.5857322506684,1.9770680906284002,4.5279684141575009e-16,0,True
A_Task-1_trial-094,1,A_Task-1,test,P0,1,98.344225567678151,2.1459711436728859,1.4977126292982504e-15,0,True
A_Task-1_trial-094,1,A_Task-1,test,W0,1,98.344225567678151,2.1459711436728859,1.4977126292982504e-15,0,True
A_Task-1_trial-094,1,A_Task-1,test,SELECTED,1,88.063927833407874,1.3338141613574845,4.8762736767850017e-16,0,True
A_Task-1_trial-095,1,A_Task-1,test,P0,1,105.59994090787083,2.8409521803916116,1.6718652606120004e-15,0,True
A_Task-1_trial-095,1,A_Task-1,test,W0,1,105.59994090787083,2.8409521803916116,1.6718652606120004e-15,0,True
A_Task-1_trial-095,1,A_Task-1,test,SELECTED,1,94.826508969495563,1.7571869235109594,2.2639842070787504e-16,0,True
A_Task-1_trial-096,1,A_Task-1,test,P0,1,121.5915076291126,2.9174882538207885,1.1842378929335002e-15,0,True
A_Task-1_trial-096,1,A_Task-1,test,W0,1,121.5915076291126,2.9174882538207885,1.1842378929335002e-15,0,True
A_Task-1_trial-096,1,A_Task-1,test,SELECTED,1,119.66368394422017,1.7648474863622108,3.3959763106181257e-16,0,True
A_Task-1_trial-097,1,A_Task-1,test,P0,1,108.92185864607748,1.9667861478919244,1.6718652606120004e-15,0,True
A_Task-1_trial-097,1,A_Task-1,test,W0,1,108.92185864607748,1.9667861478919244,1.6718652606120004e-15,0,True
A_Task-1_trial-097,1,A_Task-1,test,SELECTED,1,103.79643355947765,0.85643347844383533,3.0912092058190632e-16,0,True
A_Task-1_trial-098,1,A_Task-1,test,P0,1,76.050009027293129,2.2811120010954986,2.9257642060710006e-15,0,True
A_Task-1_trial-098,1,A_Task-1,test,W0,1,76.050009027293129,2.2811120010954986,2.9257642060710006e-15,0,True
A_Task-1_trial-098,1,A_Task-1,test,SELECTED,1,70.954603305738445,1.0558760392099504,1.1145768404080003e-15,0,True
A_Task-1_trial-099,1,A_Task-1,test,P0,1,83.850624821400132,2.2098579951519293,1.5325431555610005e-15,0,True
A_Task-1_trial-099,1,A_Task-1,test,W0,1,83.850624821400132,2.2098579951519293,1.5325431555610005e-15,0,True
A_Task-1_trial-099,1,A_Task-1,test,SELECTED,1,82.396226471501393,1.3877711893667446,7.2273341995206269e-16,0,True
A_Task-1_trial-100,1,A_Task-1,test,P0,1,50.577237904499555,2.1327501296822913,1.6022042080865004e-15,0,True
A_Task-1_trial-100,1,A_Task-1,test,W0,1,50.577237904499555,2.1327501296822913,1.6022042080865004e-15,0,True
A_Task-1_trial-100,1,A_Task-1,test,SELECTED,1,42.811476824580964,1.0047447107447554,1.3583905242472503e-15,0,True
A_Task-2_trial-001,2,A_Task-2,development,P0,1,97.276706973287261,2.5307150482851841,1.4280515767727504e-15,0,True
A_Task-2_trial-001,2,A_Task-2,development,W0,1,97.276706973287261,2.5307150482851841,1.4280515767727504e-15,0,True
A_Task-2_trial-001,2,A_Task-2,development,SELECTED,1,97.276706973287261,2.5307150482851841,1.4280515767727504e-15,0,True
A_Task-2_trial-002,2,A_Task-2,development,P0,1,162.38014472684708,2.5084128139163675,3.065086311122001e-15,0,True
A_Task-2_trial-002,2,A_Task-2,development,W0,1,162.38014472684708,2.5084128139163675,3.065086311122001e-15,0,True
A_Task-2_trial-002,2,A_Task-2,development,SELECTED,1,162.38014472684708,2.5084128139163675,3.065086311122001e-15,0,True
A_Task-2_trial-003,2,A_Task-2,development,P0,1,121.84005364369246,2.6022996559186322,2.1246621020277505e-15,0,True
A_Task-2_trial-003,2,A_Task-2,development,W0,1,121.84005364369246,2.6022996559186322,2.1246621020277505e-15,0,True
A_Task-2_trial-003,2,A_Task-2,development,SELECTED,1,121.84005364369246,2.6022996559186322,2.1246621020277505e-15,0,True
A_Task-2_trial-004,2,A_Task-2,development,P0,1,97.943944790202465,2.4692495283138247,2.0201705232395005e-15,0,True
A_Task-2_trial-004,2,A_Task-2,development,W0,1,97.943944790202465,2.4692495283138247,2.0201705232395005e-15,0,True
A_Task-2_trial-004,2,A_Task-2,development,SELECTED,1,97.943944790202465,2.4692495283138247,2.0201705232395005e-15,0,True
A_Task-2_trial-005,2,A_Task-2,development,P0,1,89.067311366219172,2.1543384812844395,4.4583073616320011e-15,0,True
A_Task-2_trial-005,2,A_Task-2,development,W0,1,89.067311366219172,2.1543384812844395,4.4583073616320011e-15,0,True
A_Task-2_trial-005,2,A_Task-2,development,SELECTED,1,89.067311366219172,2.1543384812844395,4.4583073616320011e-15,0,True
A_Task-2_trial-006,2,A_Task-2,development,P0,1,260.57243862144287,3.0929178737717007,6.9661052525500015e-15,0,True
A_Task-2_trial-006,2,A_Task-2,development,W0,1,260.57243862144287,3.0929178737717007,6.9661052525500015e-15,0,True
A_Task-2_trial-006,2,A_Task-2,development,SELECTED,1,260.57243862144287,3.0929178737717007,6.9661052525500015e-15,0,True
A_Task-2_trial-007,2,A_Task-2,development,P0,1,132.51958854308992,2.5031028128028834,1.7763568394002505e-15,0,True
A_Task-2_trial-007,2,A_Task-2,development,W0,1,132.51958854308992,2.5031028128028834,1.7763568394002505e-15,0,True
A_Task-2_trial-007,2,A_Task-2,development,SELECTED,1,132.51958854308992,2.5031028128028834,1.7763568394002505e-15,0,True
A_Task-2_trial-008,2,A_Task-2,development,P0,1,174.87533049164131,2.899442883202163,6.6177999899225019e-16,0,True
A_Task-2_trial-008,2,A_Task-2,development,W0,0.90878645557160953,174.87533049164131,2.899442883202163,6.6177999899225019e-16,0,True
A_Task-2_trial-008,2,A_Task-2,development,SELECTED,1,174.87533049164131,2.899442883202163,6.6177999899225019e-16,0,True
A_Task-2_trial-009,2,A_Task-2,development,P0,1,152.41840729859081,2.6069920754051439,2.2291536808160006e-15,0,True
A_Task-2_trial-009,2,A_Task-2,development,W0,1,152.41840729859081,2.6069920754051439,2.2291536808160006e-15,0,True
A_Task-2_trial-009,2,A_Task-2,development,SELECTED,1,152.41840729859081,2.6069920754051439,2.2291536808160006e-15,0,True
A_Task-2_trial-010,2,A_Task-2,development,P0,1,167.62833745879487,2.5039763426541244,2.5077978909180008e-15,0,True
A_Task-2_trial-010,2,A_Task-2,development,W0,1,167.62833745879487,2.5039763426541244,2.5077978909180008e-15,0,True
A_Task-2_trial-010,2,A_Task-2,development,SELECTED,1,167.62833745879487,2.5039763426541244,2.5077978909180008e-15,0,True
A_Task-2_trial-011,2,A_Task-2,development,P0,1,224.47852357735002,3.2627040451288671,3.413391573749501e-15,0,True
A_Task-2_trial-011,2,A_Task-2,development,W0,1,224.47852357735002,3.2627040451288671,3.413391573749501e-15,0,True
A_Task-2_trial-011,2,A_Task-2,development,SELECTED,1,224.47852357735002,3.2627040451288671,3.413391573749501e-15,0,True
A_Task-2_trial-012,2,A_Task-2,development,P0,1,245.34999875910904,2.8046275123690019,8.3593263030600025e-15,0,True
A_Task-2_trial-012,2,A_Task-2,development,W0,1,245.34999875910904,2.8046275123690019,8.3593263030600025e-15,0,True
A_Task-2_trial-012,2,A_Task-2,development,SELECTED,1,245.34999875910904,2.8046275123690019,8.3593263030600025e-15,0,True
A_Task-2_trial-013,2,A_Task-2,development,P0,1,161.51645325430587,2.7462959335933905,2.7864421010200007e-15,0,True
A_Task-2_trial-013,2,A_Task-2,development,W0,1,161.51645325430587,2.7462959335933905,2.7864421010200007e-15,0,True
A_Task-2_trial-013,2,A_Task-2,development,SELECTED,1,161.51645325430587,2.7462959335933905,2.7864421010200007e-15,0,True
A_Task-2_trial-014,2,A_Task-2,development,P0,1,204.83489756158474,2.6886011770387799,6.9661052525500017e-16,0,True
A_Task-2_trial-014,2,A_Task-2,development,W0,0.90878645557160953,204.83489756158474,2.6886011770387799,6.9661052525500017e-16,0,True
A_Task-2_trial-014,2,A_Task-2,development,SELECTED,1,204.83489756158474,2.6886011770387799,6.9661052525500017e-16,0,True
A_Task-2_trial-015,2,A_Task-2,development,P0,1,224.8801349576631,2.8629158227211593,9.7525473535700034e-16,0,True
A_Task-2_trial-015,2,A_Task-2,development,W0,1,224.8801349576631,2.8629158227211593,9.7525473535700034e-16,0,True
