task,condition,channel,method,selected_k,time_s,training_clean_mean,historical_P0_mean,fit,fit_ci_low,fit_ci_high
2,1,Fz,P0,2,-0.12109375,1.2832541789608327,1.120274589608401,,,
2,1,Fz,P0,2,-0.1171875,1.1047229961076885,1.9355983631158975,,,
2,1,Fz,P0,2,-0.11328125,0.91408678887218542,2.7670003067963327,,,
2,1,Fz,P0,2,-0.109375,0.67153375980247842,3.4847986498041683,,,
2,1,Fz,P0,2,-0.10546875,0.35575940777530463,4.0078030764047581,,,
2,1,Fz,P0,2,-0.1015625,-0.029427718901665019,4.3059532447683724,,,
2,1,Fz,P0,2,-0.09765625,-0.45744167966642119,4.3705358352146089,,,
2,1,Fz,P0,2,-0.09375,-0.88596089524268651,4.1899759269452188,,,
2,1,Fz,P0,2,-0.08984375,-1.2691811543380347,3.7550439313440864,,,
2,1,Fz,P0,2,-0.0859375,-1.5771324997294971,3.0878785039955683,,,
2,1,Fz,P0,2,-0.08203125,-1.8162230690022567,2.2727238593158061,,,
2,1,Fz,P0,2,-0.078125,-2.0363773709649529,1.4618877001043311,,,
2,1,Fz,P0,2,-0.07421875,-2.3127512594706396,0.83796056250632034,,,
2,1,Fz,P0,2,-0.0703125,-2.7055536104140527,0.54096221132998557,,,
2,1,Fz,P0,2,-0.06640625,-3.2180046676320067,0.59889053907715784,,,
2,1,Fz,P0,2,-0.0625,-3.7770758599437317,0.89908358365249319,,,
2,1,Fz,P0,2,-0.05859375,-4.250777473445762,1.2106519629383359,,,
2,1,Fz,P0,2,-0.0546875,-4.4952160753857466,1.2501387784277005,,,
2,1,Fz,P0,2,-0.05078125,-4.4072303612018349,0.77878748119670149,,,
2,1,Fz,P0,2,-0.046875,-3.9571212899858397,-0.29574719493836404,,,
2,1,Fz,P0,2,-0.04296875,-3.1916133879790372,-1.8642662658301759,,,
2,1,Fz,P0,2,-0.0390625,-2.2154541991047969,-3.648227671881997,,,
2,1,Fz,P0,2,-0.03515625,-1.1665136404843686,-5.3036628093483733,,,
2,1,Fz,P0,2,-0.03125,-0.19353853296296777,-6.5333118343026859,,,
2,1,Fz,P0,2,-0.02734375,0.5628596322971231,-7.1581532377830799,,,
2,1,Fz,P0,2,-0.0234375,0.99037921729402167,-7.1506093046066512,,,
2,1,Fz,P0,2,-0.01953125,1.0299799769652564,-6.6470426476679645,,,
2,1,Fz,P0,2,-0.015625,0.7012808887653621,-5.9263812706823993,,,
2,1,Fz,P0,2,-0.01171875,0.11286487179773909,-5.3297599544963576,,,
2,1,Fz,P0,2,-0.0078125,-0.56026395837639575,-5.1374502640268309,,,
2,1,Fz,P0,2,-0.00390625,-1.1344221960523015,-5.4648613180680181,,,
2,1,Fz,P0,2,0,-1.4882247149628252,-6.2329531074826638,5.4746400530045829,3.7347572648726541,7.3503013457307373
2,1,Fz,P0,2,0.00390625,-1.6116774040746715,-7.2214989782982837,4.6113304028399735,2.9313705661777378,6.485162337405372
2,1,Fz,P0,2,0.0078125,-1.6075722386607953,-8.1732590213774952,3.7491735702767728,2.0979830902524044,5.6216235664862149
2,1,Fz,P0,2,0.01171875,-1.6437085488385308,-8.9015607927730702,2.8888550457022775,1.2032466389516547,4.7603795267108273
2,1,Fz,P0,2,0.015625,-1.8776661911114938,-9.3548453169047914,2.0310709634407771,0.31568552862105842,3.9021348368027677
2,1,Fz,P0,2,0.01953125,-2.3877559973945903,-9.610316395479316,1.1765272198234273,-0.56849253427664848,3.0476033370886162
2,1,Fz,P0,2,0.0234375,-3.1418746430536966,-9.8069794972664805,0.32593855474219396,-1.4496361688998938,2.2088403140219355
2,1,Fz,P0,2,0.02734375,-4.0195287161271374,-10.062810033859851,-0.51997240220714314,-2.3566417402744166,1.3985636523949085
2,1,Fz,P0,2,0.03125,-4.8748092638000324,-10.422786781752182,-1.3604761198434847,-3.2636424566645093,0.57639407356303662
2,1,Fz,P0,2,0.03515625,-5.6041452308505049,-10.857664019085769,-2.194837186603007,-4.1635343967182621,-0.23892102053494702
2,1,Fz,P0,2,0.0390625,-6.1810499598276172,-11.303831275115124,-3.0223153636358187,-5.0553337948268595,-1.0466489087866451
2,1,Fz,P0,2,0.04296875,-6.6446471720392184,-11.715895657446866,-3.8421666686161982,-5.9438392220281928,-1.8460545460440321
2,1,Fz,P0,2,0.046875,-7.0598303652315746,-12.096364061419459,-4.6536444891158046,-6.8223712750151284,-2.6352327938471807
2,1,Fz,P0,2,0.05078125,-7.4792004532227656,-12.47919351218799,-5.4560007244451008,-7.6901112981341777,-3.4107501406917455
2,1,Fz,P0,2,0.0546875,-7.9255569742794991,-12.880727398200577,-6.2484869549517734,-8.548420752637826,-4.1325268565420625
2,1,Fz,P0,2,0.05859375,-8.3950880893093256,-13.266023308242302,-7.0303556378779755,-9.3994618284268245,-4.8133693104234885
2,1,Fz,P0,2,0.0625,-8.8710023319713756,-13.569316462948901,-7.8008613290259365,-10.237680245703251,-5.551807024905715
2,1,Fz,P0,2,0.06640625,-9.336883674944767,-13.75485612420422,-8.5592619296641139,-11.062268319800785,-6.241479892739596
2,1,Fz,P0,2,0.0703125,-9.7834204271209391,-13.862806273001718,-9.3048199583283644,-11.87242464817197,-6.9144541753297135
2,1,Fz,P0,2,0.07421875,-10.207843954448826,-13.997511045520982,-10.036803847435953,-12.667355624876128,-7.5856353669618741
2,1,Fz,P0,2,0.078125,-10.610155357497133,-14.263798182308154,-10.754489264937641,-13.446276992112468,-8.2579673600988084
2,1,Fz,P0,2,0.08203125,-10.991305853037431,-14.694231128514996,-11.457160461585881,-14.208415430228193,-8.9161483492594567
2,1,Fz,P0,2,0.0859375,-11.355207733939984,-15.215623299898548,-12.144111644797462,-14.953010188031751,-9.5595192284046835
2,1,Fz,P0,2,0.08984375,-11.71196151676002,-15.68092634874621,-12.814648380536569,-15.679314755666772,-10.187432076182466
2,1,Fz,P0,2,0.09375,-12.077724127656637,-15.950015375782902,-13.468089025139895,-16.436937478911798,-10.77751723453523
2,1,Fz,P0,2,0.09765625,-12.46780662667673,-15.963805457824529,-14.103766189547386,-17.196213485471105,-11.318950691186746
2,1,Fz,P0,2,0.1015625,-12.883458571378153,-15.761102351812264,-14.721028238987705,-17.947943564110815,-11.827079320224897
2,1,Fz,P0,2,0.10546875,-13.299583277649363,-15.438623625698702,-15.319240831793277,-18.677738804535554,-12.319071467591854
2,1,Fz,P0,2,0.109375,-13.665910405330262,-15.096119757675584,-15.897788501678901,-19.384858184547667,-12.795181793818205
2,1,Fz,P0,2,0.11328125,-13.928872187461135,-14.800854372602577,-16.456076288503088,-20.068584133209374,-13.254924451704893
2,1,Fz,P0,2,0.1171875,-14.065323510952934,-14.57621149304555,-16.993531423232199,-20.745770360334621,-13.69783188175728
2,1,Fz,P0,2,0.12109375,-14.106756398114419,-14.408518700843777,-17.509605073530519,-21.408095425371972,-14.123456289613566
2,1,Fz,P0,2,0.125,-14.136672393419785,-14.269783023556709,-18.003774157089435,-22.045212574650858,-14.531371182613404
2,1,Fz,P0,2,0.12890625,-14.260463216204704,-14.147159414748188,-18.475543230466748,-22.656453262521143,-14.920318209415383
2,1,Fz,P0,2,0.1328125,-14.562756996322822,-14.055739501703849,-18.924446461809993,-23.241177543965833,-15.264324578216565
2,1,Fz,P0,2,0.13671875,-15.072681881592102,-14.017186044948245,-19.350049696360632,-23.798776030109753,-15.587449880964785
2,1,Fz,P0,2,0.140625,-15.752534156325803,-14.020786151973779,-19.751952624048297,-24.328671923857964,-15.886689089241782
2,1,Fz,P0,2,0.14453125,-16.513579972639437,-14.009786525798422,-20.129791058754456,-24.830323148134788,-16.164244234912481
2,1,Fz,P0,2,0.1484375,-17.249275644196572,-13.914868194922933,-20.483239338914608,-25.303224580489999,-16.434756688278114
2,1,Fz,P0,2,0.15234375,-17.868652808056687,-13.706014038239713,-20.812012858998816,-25.746910409074491,-16.703688623669134
2,1,Fz,P0,2,0.15625,-18.316796339246636,-13.413943273885561,-21.115870741018554,-26.16095662612074,-16.965498765305853
2,1,Fz,P0,2,0.16015625,-18.58083500748597,-13.105194220584679,-21.394618654507028,-26.544983676039969,-17.206897370428091
2,1,Fz,P0,2,0.1640625,-18.686806971249023,-12.839057630043476,-21.648111792365359,-26.848076860900228,-17.427723263031975
2,1,Fz,P0,2,0.16796875,-18.690443871954923,-12.64465220920869,-21.876258008506561,-27.116747540414551,-17.627855045305306
2,1,Fz,P0,2,0.171875,-18.661358252907736,-12.533847326020762,-22.079021121318259,-27.355041255203162,-17.807213679673168
2,1,Fz,P0,2,0.17578125,-18.663407043279797,-12.536824962045939,-22.25642438455338,-27.562930652154641,-17.965765227942697
2,1,Fz,P0,2,0.1796875,-18.739877025128038,-12.727346584641285,-22.408554124303567,-27.743182499865938,-18.103523752639411
2,1,Fz,P0,2,0.18359375,-18.910597695395314,-13.204471815369272,-22.535563537172266,-27.895211871720864,-18.220554383417063
