task,condition,channel,method,selected_k,n_train_trials,n_historical_trials,train_rmse,historical_P0_rmse,converged,boundary,best_start_nfev,successful_bootstraps,development_selection_loss,parameter,value,ci_low,ci_high,interval_scope
1,1,F3,P0,2,75,23,1.3359196370023436,4.3977471737782627,True,True,10,100,0.088717264200838253,late_sigma_s,0.13232599533622419,0.080788722609405159,0.19999999999997498,conditional_on_operator_and_selected_K
1,1,F4,P0,0,75,23,7.1041155676615002,10.345053938043879,True,False,1,100,0.086944328816604494,offset,1.1562142091021073,-6.3817900169853807,12.237984139132193,conditional_on_operator_and_selected_K
2,-1,Fz,P0,2,81,26,3.1192255809290357,7.6530914859145636,True,True,16,100,0.033888463485596279,offset,50.611639280572838,42.248319554523945,60.643034357597045,conditional_on_operator_and_selected_K
2,-1,Fz,P0,2,81,26,3.1192255809290357,7.6530914859145636,True,True,16,100,0.033888463485596279,early_amplitude,-69.339229911868983,-81.338134637490953,-57.906915822194506,conditional_on_operator_and_selected_K
2,-1,Fz,P0,2,81,26,3.1192255809290357,7.6530914859145636,True,True,16,100,0.033888463485596279,early_mu_s,0.17600900392486896,0.15400658063197512,0.18798041383283343,conditional_on_operator_and_selected_K
2,-1,Fz,P0,2,81,26,3.1192255809290357,7.6530914859145636,True,True,16,100,0.033888463485596279,early_sigma_s,0.19999999999999948,0.19999999998386336,0.19999999999999998,conditional_on_operator_and_selected_K
2,-1,Fz,P0,2,81,26,3.1192255809290357,7.6530914859145636,True,True,16,100,0.033888463485596279,late_amplitude,-54.422558036082982,-64.189794145607607,-46.000419180776362,conditional_on_operator_and_selected_K
2,-1,Fz,P0,2,81,26,3.1192255809290357,7.6530914859145636,True,True,16,100,0.033888463485596279,late_mu_s,0.46394810982757556,0.45502841276953726,0.47047152528465586,conditional_on_operator_and_selected_K
2,-1,Fz,P0,2,81,26,3.1192255809290357,7.6530914859145636,True,True,16,100,0.033888463485596279,late_sigma_s,0.083392367096749118,0.074351320665042242,0.09531551467018376,conditional_on_operator_and_selected_K
2,-1,F3,P0,1,81,26,12.578452766176607,25.174766573465021,True,True,11,100,0.07191598775327937,offset,46.194981360455706,19.722914770205875,78.757546218457023,conditional_on_operator_and_selected_K
2,-1,F3,P0,1,81,26,12.578452766176607,25.174766573465021,True,True,11,100,0.07191598775327937,late_amplitude,-60.03266733195769,-97.494426897555527,-22.113271746897393,conditional_on_operator_and_selected_K
2,-1,F3,P0,1,81,26,12.578452766176607,25.174766573465021,True,True,11,100,0.07191598775327937,late_mu_s,0.25000000000000588,0.25000000000000006,0.26948273250183086,conditional_on_operator_and_selected_K
2,-1,F3,P0,1,81,26,12.578452766176607,25.174766573465021,True,True,11,100,0.07191598775327937,late_sigma_s,0.19999999999999943,0.10933818839324976,0.19999999999999998,conditional_on_operator_and_selected_K
2,-1,F4,P0,2,81,26,4.2397431567907029,48.412096758638612,True,True,13,100,0.13089785088892314,offset,44.727059481299257,11.71358974724626,72.329986984721714,conditional_on_operator_and_selected_K
2,-1,F4,P0,2,81,26,4.2397431567907029,48.412096758638612,True,True,13,100,0.13089785088892314,early_amplitude,-73.117976525142069,-96.267774969938813,-38.324402005706418,conditional_on_operator_and_selected_K
2,-1,F4,P0,2,81,26,4.2397431567907029,48.412096758638612,True,True,13,100,0.13089785088892314,early_mu_s,0.080653518008233574,0.05000000000000001,0.14277940961056856,conditional_on_operator_and_selected_K
2,-1,F4,P0,2,81,26,4.2397431567907029,48.412096758638612,True,True,13,100,0.13089785088892314,early_sigma_s,0.19999999999996032,0.071260325170920055,0.19999999999999998,conditional_on_operator_and_selected_K
2,-1,F4,P0,2,81,26,4.2397431567907029,48.412096758638612,True,True,13,100,0.13089785088892314,late_amplitude,-103.02516956895876,-143.50843002513668,-72.970792912800732,conditional_on_operator_and_selected_K
2,-1,F4,P0,2,81,26,4.2397431567907029,48.412096758638612,True,True,13,100,0.13089785088892314,late_mu_s,0.44583044239877612,0.40146612807560428,0.4609680172973244,conditional_on_operator_and_selected_K
2,-1,F4,P0,2,81,26,4.2397431567907029,48.412096758638612,True,True,13,100,0.13089785088892314,late_sigma_s,0.10614697725138175,0.083021546132067955,0.13730157431058368,conditional_on_operator_and_selected_K
2,1,Fz,P0,2,79,14,3.0583044874906893,12.714390705760554,True,True,9,100,0.090666354949401409,offset,50.325077507342023,41.382907940186172,57.962296822549874,conditional_on_operator_and_selected_K
2,1,Fz,P0,2,79,14,3.0583044874906893,12.714390705760554,True,True,9,100,0.090666354949401409,early_amplitude,-72.919892166161631,-85.516305592937343,-59.827824393637975,conditional_on_operator_and_selected_K
2,1,Fz,P0,2,79,14,3.0583044874906893,12.714390705760554,True,True,9,100,0.090666354949401409,early_mu_s,0.19718584641669715,0.18766798237613838,0.207265788089046,conditional_on_operator_and_selected_K
2,1,Fz,P0,2,79,14,3.0583044874906893,12.714390705760554,True,True,9,100,0.090666354949401409,early_sigma_s,0.19999999999999568,0.19999999999668652,0.19999999999999998,conditional_on_operator_and_selected_K
2,1,Fz,P0,2,79,14,3.0583044874906893,12.714390705760554,True,True,9,100,0.090666354949401409,late_amplitude,-57.768606488296996,-66.073556470150052,-48.264331410853423,conditional_on_operator_and_selected_K
2,1,Fz,P0,2,79,14,3.0583044874906893,12.714390705760554,True,True,9,100,0.090666354949401409,late_mu_s,0.4810565888282311,0.47105373239358234,0.48909948339510295,conditional_on_operator_and_selected_K
2,1,Fz,P0,2,79,14,3.0583044874906893,12.714390705760554,True,True,9,100,0.090666354949401409,late_sigma_s,0.08397869537109745,0.077044595364479579,0.092642582101583132,conditional_on_operator_and_selected_K
2,1,F3,P0,2,79,14,4.9162046197625928,23.854509713266584,True,False,17,100,0.072735041236791365,offset,57.34993966524695,41.192534475800237,78.649183191483488,conditional_on_operator_and_selected_K
2,1,F3,P0,2,79,14,4.9162046197625928,23.854509713266584,True,False,17,100,0.072735041236791365,early_amplitude,-76.115768438762245,-111.47267912862182,-58.859038703188631,conditional_on_operator_and_selected_K
2,1,F3,P0,2,79,14,4.9162046197625928,23.854509713266584,True,False,17,100,0.072735041236791365,early_mu_s,0.15495426420309261,0.12026663263660098,0.2155882712209993,conditional_on_operator_and_selected_K
2,1,F3,P0,2,79,14,4.9162046197625928,23.854509713266584,True,False,17,100,0.072735041236791365,early_sigma_s,0.16322164372889872,0.11230308048176994,0.19999999999999951,conditional_on_operator_and_selected_K
2,1,F3,P0,2,79,14,4.9162046197625928,23.854509713266584,True,False,17,100,0.072735041236791365,late_amplitude,-24.53825196635745,-49.854940635755142,66.218570352851472,conditional_on_operator_and_selected_K
2,1,F3,P0,2,79,14,4.9162046197625928,23.854509713266584,True,False,17,100,0.072735041236791365,late_mu_s,0.48754257437837023,0.35991384250527025,0.49999999999999994,conditional_on_operator_and_selected_K
2,1,F3,P0,2,79,14,4.9162046197625928,23.854509713266584,True,False,17,100,0.072735041236791365,late_sigma_s,0.056717378241053704,0.031219225439419098,0.11884472814852556,conditional_on_operator_and_selected_K
2,1,F4,P0,2,79,14,11.344231737409284,16.914372479323902,True,False,15,100,0.059257889764898104,offset,109.9632769852637,70.363388662656362,140.22262911344052,conditional_on_operator_and_selected_K
2,1,F4,P0,2,79,14,11.344231737409284,16.914372479323902,True,False,15,100,0.059257889764898104,early_amplitude,-134.1782749672501,-175.97252893380482,-95.206746523288245,conditional_on_operator_and_selected_K
2,1,F4,P0,2,79,14,11.344231737409284,16.914372479323902,True,False,15,100,0.059257889764898104,early_mu_s,0.095696204745070582,0.079777668871461149,0.18942030189263481,conditional_on_operator_and_selected_K
2,1,F4,P0,2,79,14,11.344231737409284,16.914372479323902,True,False,15,100,0.059257889764898104,early_sigma_s,0.16197188724496697,0.10619326650635127,0.19999999999999984,conditional_on_operator_and_selected_K
2,1,F4,P0,2,79,14,11.344231737409284,16.914372479323902,True,False,15,100,0.059257889764898104,late_amplitude,-104.58227775191698,-128.37283161574385,-73.959036913220984,conditional_on_operator_and_selected_K
2,1,F4,P0,2,79,14,11.344231737409284,16.914372479323902,True,False,15,100,0.059257889764898104,late_mu_s,0.45676194643588719,0.40887513103115697,0.48388916944373411,conditional_on_operator_and_selected_K
2,1,F4,P0,2,79,14,11.344231737409284,16.914372479323902,True,False,15,100,0.059257889764898104,late_sigma_s,0.1092374987402453,0.091723567713571763,0.1282744204532297,conditional_on_operator_and_selected_K
