task,partition,inner_fold,candidate,loss,n_train,n_validation
1,outer_3,1,U4_L10,0.13508673968343127,80,40
1,outer_3,1,U4_L100,0.1350289846003363,80,40
1,outer_3,2,P0,0.12077734560203013,80,40
1,outer_3,2,W0,0.16749041122600228,80,40
1,outer_3,2,U0_L1,0.16746089107970372,80,40
1,outer_3,2,U0_L10,0.16736586535831732,80,40
1,outer_3,2,U0_L100,0.16727853101780712,80,40
1,outer_3,2,U2_L1,0.1674682473287197,80,40
1,outer_3,2,U2_L10,0.16737541206285264,80,40
1,outer_3,2,U2_L100,0.16725495821128472,80,40
1,outer_3,2,U4_L1,0.16746833141845871,80,40
1,outer_3,2,U4_L10,0.16737747696123831,80,40
1,outer_3,2,U4_L100,0.16725306146570401,80,40
1,historical,0,P0,0.13466615341208302,120,40
1,historical,0,W0,0.096658721681541562,120,40
1,historical,0,U0_L1,0.09664377823149016,120,40
1,historical,0,U0_L10,0.096587125665460336,120,40
1,historical,0,U0_L100,0.096429570982012422,120,40
1,historical,0,U2_L1,0.096647955020991425,120,40
1,historical,0,U2_L10,0.09660759676892651,120,40
1,historical,0,U2_L100,0.096538903872759832,120,40
1,historical,0,U4_L1,0.096651244539385464,120,40
1,historical,0,U4_L10,0.096625376589484627,120,40
1,historical,0,U4_L100,0.096591960029561955,120,40
1,historical,1,P0,0.14192408271324933,120,40
1,historical,1,W0,0.12944673490351818,120,40
1,historical,1,U0_L1,0.12942290557768504,120,40
1,historical,1,U0_L10,0.12934022811239101,120,40
1,historical,1,U0_L100,0.12922761864868657,120,40
1,historical,1,U2_L1,0.12942933024303907,120,40
1,historical,1,U2_L10,0.12936091398857366,120,40
1,historical,1,U2_L100,0.12921830460806782,120,40
1,historical,1,U4_L1,0.12943527360890886,120,40
1,historical,1,U4_L10,0.12939085537021913,120,40
1,historical,1,U4_L100,0.12929985272481118,120,40
1,historical,2,P0,0.1317187898765404,120,40
1,historical,2,W0,0.1736713238960278,120,40
1,historical,2,U0_L1,0.17365328778759992,120,40
1,historical,2,U0_L10,0.17358527787317971,120,40
1,historical,2,U0_L100,0.17353615283201532,120,40
1,historical,2,U2_L1,0.17365708827130652,120,40
1,historical,2,U2_L10,0.17359819339248347,120,40
1,historical,2,U2_L100,0.1735044271555661,120,40
1,historical,2,U4_L1,0.17365287331366114,120,40
1,historical,2,U4_L10,0.17357732182003455,120,40
1,historical,2,U4_L100,0.17342531323952817,120,40
1,historical,3,P0,0.02611779380434166,120,40
1,historical,3,W0,0.021316149931543647,120,40
1,historical,3,U0_L1,0.021309465054614632,120,40
1,historical,3,U0_L10,0.021300282128581798,120,40
1,historical,3,U0_L100,0.021327005549169879,120,40
1,historical,3,U2_L1,0.021306599799231305,120,40
1,historical,3,U2_L10,0.021280739030915187,120,40
1,historical,3,U2_L100,0.021265124560797977,120,40
1,historical,3,U4_L1,0.021307975751379302,120,40
1,historical,3,U4_L10,0.021283958716157545,120,40
1,historical,3,U4_L100,0.02126396749534365,120,40
2,outer_0,1,P0,0.046156376713184316,80,40
2,outer_0,1,W0,0.058164967565629805,80,40
2,outer_0,1,U0_L1,0.058158688009578047,80,40
2,outer_0,1,U0_L10,0.058132742117311245,80,40
2,outer_0,1,U0_L100,0.058059130390065758,80,40
2,outer_0,1,U2_L1,0.05815743748201524,80,40
2,outer_0,1,U2_L10,0.058124629928542212,80,40
2,outer_0,1,U2_L100,0.058033740854737302,80,40
2,outer_0,1,U4_L1,0.058157765761630661,80,40
2,outer_0,1,U4_L10,0.058125641130472819,80,40
2,outer_0,1,U4_L100,0.058047956374121766,80,40
2,outer_0,2,P0,0.14157545925228862,80,40
2,outer_0,2,W0,0.14896822944553292,80,40
2,outer_0,2,U0_L1,0.14896034582199003,80,40
2,outer_0,2,U0_L10,0.14892356615678243,80,40
2,outer_0,2,U0_L100,0.14878443443104766,80,40
2,outer_0,2,U2_L1,0.14896075307570955,80,40
2,outer_0,2,U2_L10,0.14892202272779798,80,40
2,outer_0,2,U2_L100,0.14878081532013937,80,40
2,outer_0,2,U4_L1,0.14896127473935108,80,40
2,outer_0,2,U4_L10,0.14893122706608111,80,40
2,outer_0,2,U4_L100,0.14882422910732671,80,40
2,outer_0,3,P0,0.044936755933642963,80,40
2,outer_0,3,W0,0.027398242386769994,80,40
2,outer_0,3,U0_L1,0.027388343565921885,80,40
2,outer_0,3,U0_L10,0.027348057340216954,80,40
2,outer_0,3,U0_L100,0.027293711290941897,80,40
2,outer_0,3,U2_L1,0.02738820910295511,80,40
2,outer_0,3,U2_L10,0.027348497653259137,80,40
2,outer_0,3,U2_L100,0.027307696678187835,80,40
2,outer_0,3,U4_L1,0.027389365201295535,80,40
2,outer_0,3,U4_L10,0.027355225527306352,80,40
