task,method,family,time_s,truth_F3,restored_F3
1,P0,oscillatory,0.734375,-0.010674473427061204,-0.010673713132112145
1,P0,oscillatory,0.73828125,-0.0093193087681547881,-0.0093180662251252985
1,P0,oscillatory,0.7421875,-0.0076422024775402164,-0.0076406461107973297
1,P0,oscillatory,0.74609375,-0.0058337852628313853,-0.0058320702989477953
1,P0,oscillatory,0.75,-0.0040447194288507288,-0.0040429785565177867
1,P0,oscillatory,0.75390625,-0.0023856709340068973,-0.0023840087977920407
1,P0,oscillatory,0.7578125,-0.00093002927692967903,-0.00092852043345965115
1,P0,oscillatory,0.76171875,0.00028149318043858536,0.00028280342842671303
1,P0,oscillatory,0.765625,0.0012351735654677919,0.0012362661584382974
1,P0,oscillatory,0.76953125,0.0019381769396156724,0.0019390546057203441
1,P0,oscillatory,0.7734375,0.0024125774026920997,0.0024132594496844859
1,P0,oscillatory,0.77734375,0.0026898949481031025,0.0026904119040856078
1,P0,oscillatory,0.78125,0.002806404276397112,0.0028067928580470525
1,P0,oscillatory,0.78515625,0.0027993502203337802,0.0027996489705828676
1,P0,oscillatory,0.7890625,0.0027041036189468341,0.0027043494207603909
1,P0,oscillatory,0.79296875,0.0025522138620094953,0.0025524394126353019
1,P0,oscillatory,0.796875,0.0023702599532260454,0.0023704921819326895
1,P0,slow_common,-0.19921875,-0.82003003422666776,0.37289542934546294
1,P0,slow_common,-0.1953125,-0.80428544716244543,0.34117320378520866
1,P0,slow_common,-0.19140625,-0.78784396857203354,0.31007870648419322
1,P0,slow_common,-0.1875,-0.7706808604342732,0.27964091186782936
1,P0,slow_common,-0.18359375,-0.75277083300979997,0.24988937636131414
1,P0,slow_common,-0.1796875,-0.7340880497092388,0.2208542330929939
1,P0,slow_common,-0.17578125,-0.71460613308923127,0.1925661854628764
1,P0,slow_common,-0.171875,-0.69429817202116828,0.16505649953147872
1,P0,slow_common,-0.16796875,-0.6731367300770611,0.13835699518459244
1,P0,slow_common,-0.1640625,-0.65109385517646301,0.1125000360301156
1,P0,slow_common,-0.16015625,-0.62814109053765266,0.087518517983772082
1,P0,slow_common,-0.15625,-0.60424948697545255,0.063445856501394893
1,P0,slow_common,-0.15234375,-0.57938961658709043,0.040315972416404833
1,P0,slow_common,-0.1484375,-0.55353158786635781,0.018163276342292534
1,P0,slow_common,-0.14453125,-0.52664506228502339,-0.0029773483988226879
1,P0,slow_common,-0.140625,-0.49869927237902034,-0.023070564359002788
1,P0,slow_common,-0.13671875,-0.46966304137527748,-0.042080600094505982
1,P0,slow_common,-0.1328125,-0.43950480439327744,-0.059971271877026666
